phrases,words,features,critical
amazing offers,account,design,cannot
app not working,annoying,errors,can't
bad experience,app,offers,unable
borderless account,bugs,priority,couldnâ€™t 
can be improved,cancel,uber,payment
can't order,charge,,refund
can't pay,cluttered,,
cancellation fee,delay,,
customer service,discount,,
delivery fee,driver,,
gift card,drivers,,
good prices,expensive,,
horrible ux,experience,,
payment method,favorite,,
promo code,food,,
quality of content,help,,
terrible customer service,late,,
user experience,order,,
easy to use,problems,,
very helpful,recommended,,
can be improved,restaurant,,
personal opinion,restaurants,,
helped me,ride,,
login experience,taste,,
signup experience ,waited,,
extremely dissatisfied,web,,
app settings,,,
better design,,,